strategy,model,date,position,executed_position,strategy_return,equity,drawdown
StableHGB,stable_hgb,2025/01/02,1.0,1.0,-0.007880216321815792,99211.97836781842,0.0
StableHGB,stable_hgb,2025/01/03,1.0,1.0,-0.047828311462035256,94466.83696567769,-0.047828311462035256
StableHGB,stable_hgb,2025/01/06,1.0,1.0,-0.006965038296092518,93808.87182850101,-0.05446022373715731
StableHGB,stable_hgb,2025/01/07,1.0,1.0,0.03666059264155752,97247.96066476977,-0.019796175173195873
StableHGB,stable_hgb,2025/01/08,1.0,1.0,-0.0023530938670022206,97019.12708495103,-0.022102686781807823
StableHGB,stable_hgb,2025/01/09,1.0,1.0,0.005732579547672145,97575.29694861123,-0.016496812644329673
StableHGB,stable_hgb,2025/01/10,1.0,1.0,-0.03154771947584489,94497.01885270418,-0.04752409530262569
StableHGB,stable_hgb,2025/01/13,1.0,1.0,0.009250844219383714,95371.1960533067,-0.038712889085553814
StableHGB,stable_hgb,2025/01/14,1.0,1.0,0.05471148230514955,100589.09555859814,0.0
StableHGB,stable_hgb,2025/01/15,1.0,1.0,0.0002536797198067209,100614.61297217506,0.0
StableHGB,stable_hgb,2025/01/16,1.0,1.0,0.009460126480445696,101566.43993667293,0.0
StableHGB,stable_hgb,2025/01/17,1.0,1.0,-0.005173354657099671,101041.00072162152,-0.005173354657099671
StableHGB,stable_hgb,2025/01/20,1.0,1.0,0.017091603281457424,102767.95342111694,0.0
StableHGB,stable_hgb,2025/01/21,0.0,1.0,-0.011275013683268997,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/22,0.0,0.0,-0.0,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/23,1.0,0.0,0.0,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/24,1.0,1.0,0.009125930765984558,102536.52225999805,-0.0022519779115435234
StableHGB,stable_hgb,2025/01/27,1.0,1.0,-0.0007581132961200776,102458.78795913483,-0.0030083839532663026
StableHGB,stable_hgb,2025/02/05,1.0,1.0,0.022339460440201186,104747.6619994989,0.0
StableHGB,stable_hgb,2025/02/06,1.0,1.0,0.014908226594480434,106309.26387982948,0.0
StableHGB,stable_hgb,2025/02/07,1.0,1.0,0.010726134870347126,107449.55138217185,0.0
StableHGB,stable_hgb,2025/02/10,1.0,1.0,0.025838209965063363,110225.85545143626,0.0
StableHGB,stable_hgb,2025/02/11,1.0,1.0,-0.0015334305426236705,110056.83175810022,-0.0015334305426235595
StableHGB,stable_hgb,2025/02/12,1.0,1.0,0.004069454708150566,110504.70305026234,0.0
StableHGB,stable_hgb,2025/02/13,1.0,1.0,-0.01274968019406153,109095.80342643177,-0.012749680194061419
StableHGB,stable_hgb,2025/02/14,1.0,1.0,0.0013591366439467123,109244.07953056945,-0.011407872107665029
StableHGB,stable_hgb,2025/02/17,1.0,1.0,0.025760691205964026,112058.28252943621,0.0
StableHGB,stable_hgb,2025/02/18,1.0,1.0,-0.024294146544977857,109335.92219208757,-0.024294146544977746
StableHGB,stable_hgb,2025/02/19,1.0,1.0,0.02056998856379466,111584.96086119075,-0.004223888297780531
StableHGB,stable_hgb,2025/02/20,1.0,1.0,0.012465106131900106,112975.87924104939,0.0
StableHGB,stable_hgb,2025/02/21,1.0,1.0,-0.0032811451686362014,112605.18898070519,-0.0032811451686362014
StableHGB,stable_hgb,2025/02/24,1.0,1.0,0.012104045163541022,113968.16727377672,0.0
StableHGB,stable_hgb,2025/02/25,1.0,1.0,-0.00353171626846871,113565.66404332835,-0.003531716268468821
StableHGB,stable_hgb,2025/02/26,1.0,1.0,0.014554498375255243,115218.55531613177,0.0
StableHGB,stable_hgb,2025/02/27,1.0,1.0,-0.0016638615513528965,115026.84759193881,-0.0016638615513530075
StableHGB,stable_hgb,2025/02/28,1.0,1.0,-0.025689741419116396,112071.8376210458,-0.027310858797457982
StableHGB,stable_hgb,2025/03/03,1.0,1.0,0.0067978851024126374,112833.68909640991,-0.02069862977519854
StableHGB,stable_hgb,2025/03/04,1.0,1.0,0.016752476218495627,114723.93278964265,-0.004292906859767354
StableHGB,stable_hgb,2025/03/05,1.0,1.0,-0.004031703853026092,114261.39986778035,-0.00830730298366622
StableHGB,stable_hgb,2025/03/06,1.0,1.0,0.016790100740604608,116179.86028232287,0.0
StableHGB,stable_hgb,2025/03/07,1.0,1.0,-0.004631217021925038,115641.8061357785,-0.004631217021925038
StableHGB,stable_hgb,2025/03/10,1.0,1.0,0.015357712705517113,117417.7997711589,0.0
StableHGB,stable_hgb,2025/03/11,1.0,1.0,0.006712199994816759,118205.93152617427,0.0
StableHGB,stable_hgb,2025/03/12,1.0,1.0,0.0049988298619236815,118796.82286654381,0.0
StableHGB,stable_hgb,2025/03/13,1.0,1.0,-0.007160554774168881,117946.17170941069,-0.007160554774168881
StableHGB,stable_hgb,2025/03/14,1.0,1.0,0.01987048533988811,120289.81938525845,0.0
StableHGB,stable_hgb,2025/03/17,1.0,1.0,0.010316604305560917,121530.80185384356,0.0
StableHGB,stable_hgb,2025/03/18,1.0,1.0,0.008615607337720599,122577.8635220546,0.0
StableHGB,stable_hgb,2025/03/19,1.0,1.0,-0.004718982451072384,121999.42073520407,-0.004718982451072495
StableHGB,stable_hgb,2025/03/20,1.0,1.0,0.0038774367195524295,122472.46576892688,-0.0008598432873546669
StableHGB,stable_hgb,2025/03/21,1.0,1.0,-0.012780000135524938,120907.26763980191,-0.013628854625550746
StableHGB,stable_hgb,2025/03/24,1.0,1.0,-0.0394906936039261,116132.55577895061,-0.0525813353072867
StableHGB,stable_hgb,2025/03/25,1.0,1.0,-0.0022772477697979854,115868.09317530204,-0.05473884234852333
StableHGB,stable_hgb,2025/03/26,1.0,1.0,0.02385346509123809,118631.94869104742,-0.0321910883223806
StableHGB,stable_hgb,2025/03/27,1.0,1.0,-0.007051581009234198,117795.40589456918,-0.0390156712645342
StableHGB,stable_hgb,2025/03/28,0.0,1.0,-0.022324196366505622,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/03/31,0.0,0.0,-0.0,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/04/01,0.0,0.0,0.0,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/04/02,0.0,0.0,0.0,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/04/03,0.0,0.0,0.0,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/04/07,0.0,0.0,-0.0,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/04/08,1.0,0.0,0.0,115165.71812230659,-0.060468874124359306
StableHGB,stable_hgb,2025/04/09,1.0,1.0,0.034474188258622585,119135.96276979444,-0.028079301216086927
StableHGB,stable_hgb,2025/04/10,1.0,1.0,0.03594204563853731,123417.95298085747,0.0
StableHGB,stable_hgb,2025/04/11,1.0,1.0,0.007469402674666226,124339.81136895451,0.0
StableHGB,stable_hgb,2025/04/14,1.0,1.0,0.02688365761870437,127682.52028617177,0.0
StableHGB,stable_hgb,2025/04/15,1.0,1.0,0.007207742840991127,128602.82305768413,0.0
StableHGB,stable_hgb,2025/04/16,1.0,1.0,-0.01993468005322363,126039.16692608787,-0.01993468005322363
StableHGB,stable_hgb,2025/04/17,1.0,1.0,0.012542272469205917,127619.98449946659,-0.0076424337728316916
StableHGB,stable_hgb,2025/04/18,1.0,1.0,-0.0010824225787497976,127481.84574674466,-0.008716584008709227
StableHGB,stable_hgb,2025/04/21,1.0,1.0,0.013156899257346533,129159.11154837516,0.0
StableHGB,stable_hgb,2025/04/22,1.0,1.0,0.0054391551724968235,129861.6279980286,0.0
StableHGB,stable_hgb,2025/04/23,1.0,1.0,0.007194606560676053,130795.9313188033,0.0
StableHGB,stable_hgb,2025/04/24,1.0,1.0,-0.0078116265738025215,129774.20234596808,-0.0078116265738025215
StableHGB,stable_hgb,2025/04/25,1.0,1.0,-0.0007767642017189047,129673.39839127912,-0.0085823229836417
StableHGB,stable_hgb,2025/04/28,1.0,1.0,-0.012555453452689713,128045.29007372532,-0.02103002147959432
StableHGB,stable_hgb,2025/04/29,1.0,1.0,0.021304409099082156,130773.21931666661,-0.00017364456147594964
StableHGB,stable_hgb,2025/04/30,1.0,1.0,0.013534732564723484,132543.19986674562,0.0
StableHGB,stable_hgb,2025/05/06,1.0,1.0,0.031113927913336337,136667.13943280248,0.0
StableHGB,stable_hgb,2025/05/07,1.0,1.0,0.012083684294397434,138318.58199912688,0.0
StableHGB,stable_hgb,2025/05/08,1.0,1.0,0.017344537966341278,140717.6538960612,0.0
StableHGB,stable_hgb,2025/05/09,1.0,1.0,-0.006438361313231167,139811.66279712814,-0.006438361313231278
StableHGB,stable_hgb,2025/05/12,1.0,1.0,0.00986031772876661,141190.25021449503,0.0
StableHGB,stable_hgb,2025/05/13,1.0,1.0,-0.0016504777350773159,140957.218850106,-0.0016504777350773159
StableHGB,stable_hgb,2025/05/14,1.0,1.0,-0.002039469473070765,140669.74090525226,-0.0036865811091914003
StableHGB,stable_hgb,2025/05/15,1.0,1.0,0.0035498247204925892,141169.093828943,-0.00014984310545440582
StableHGB,stable_hgb,2025/05/16,1.0,1.0,0.006153303654075071,142037.7501298431,0.0
StableHGB,stable_hgb,2025/05/19,1.0,1.0,0.01628363400594046,144350.64086798468,0.0
StableHGB,stable_hgb,2025/05/20,1.0,1.0,0.01733963264549554,146853.6279527774,0.0
StableHGB,stable_hgb,2025/05/21,1.0,1.0,-0.007662957007357862,145728.29491540074,-0.007662957007357862
StableHGB,stable_hgb,2025/05/22,1.0,1.0,-0.014658599384279047,143592.1222212818,-0.022209228174767115
StableHGB,stable_hgb,2025/05/23,1.0,1.0,-0.00952704927978354,142224.11299669096,-0.031524689043263665
StableHGB,stable_hgb,2025/05/26,1.0,1.0,0.012709704657964505,144031.73946811986,-0.01921565387247326
StableHGB,stable_hgb,2025/05/27,1.0,1.0,0.009623256527289792,145417.79384509334,-0.009777314511738022
StableHGB,stable_hgb,2025/05/28,1.0,1.0,-0.004257631644258741,144798.65844438018,-0.013993317952335604
StableHGB,stable_hgb,2025/05/29,1.0,1.0,0.020066350670167488,147704.23910129492,0.0
StableHGB,stable_hgb,2025/05/30,1.0,1.0,-0.011111228132997697,146063.0636044296,-0.011111228132997697
StableHGB,stable_hgb,2025/06/03,1.0,1.0,0.012399088333652886,147874.11243234487,0.0
StableHGB,stable_hgb,2025/06/04,1.0,1.0,0.013050951943125222,149804.0103673317,0.0
StableHGB,stable_hgb,2025/06/05,1.0,1.0,0.0011422779930798654,149975.12819164942,0.0
StableHGB,stable_hgb,2025/06/06,1.0,1.0,0.010194090166043113,151503.988171099,0.0
StableHGB,stable_hgb,2025/06/09,1.0,1.0,0.013945761236081822,153616.8266164473,0.0
StableHGB,stable_hgb,2025/06/10,1.0,1.0,-0.008040522613716683,152381.66704819034,-0.008040522613716794
StableHGB,stable_hgb,2025/06/11,1.0,1.0,0.007691224001028951,153553.6685831082,-0.0004111400731952042
StableHGB,stable_hgb,2025/06/12,1.0,1.0,0.0029095565560250947,154000.44166623589,0.0
StableHGB,stable_hgb,2025/06/13,1.0,1.0,-0.01653797511828703,151453.58619375445,-0.01653797511828714
StableHGB,stable_hgb,2025/06/16,1.0,1.0,0.01361555970057271,153515.71153844136,-0.003147589205263923
StableHGB,stable_hgb,2025/06/17,1.0,1.0,-0.0029143292584066227,153068.31620867978,-0.006052745352356115
StableHGB,stable_hgb,2025/06/18,1.0,1.0,-0.005878216046798057,152168.54757608555,-0.011895382054296855
StableHGB,stable_hgb,2025/06/19,1.0,1.0,-0.022695023860443975,148715.0787580372,-0.034320439935189295
StableHGB,stable_hgb,2025/06/20,1.0,1.0,-0.002700870722226578,148313.418555866,-0.03692861558602112
StableHGB,stable_hgb,2025/06/23,1.0,1.0,0.025340725776846318,152071.78822451684,-0.01252368773005863
StableHGB,stable_hgb,2025/06/24,1.0,1.0,0.026553705836741548,156109.8577550979,0.0
StableHGB,stable_hgb,2025/06/25,1.0,1.0,0.005749737923557374,157007.44852447356,0.0
StableHGB,stable_hgb,2025/06/26,1.0,1.0,0.002054901743198778,157330.08340414168,0.0
StableHGB,stable_hgb,2025/06/27,1.0,1.0,0.008525086813108596,158671.3360234756,0.0
StableHGB,stable_hgb,2025/06/30,1.0,1.0,0.015376621339424856,161111.16507492925,0.0
StableHGB,stable_hgb,2025/07/01,1.0,1.0,0.006206586242389012,162111.11541557856,0.0
StableHGB,stable_hgb,2025/07/02,1.0,1.0,0.0024891997136555766,162514.6423576514,0.0
StableHGB,stable_hgb,2025/07/03,1.0,1.0,0.006422921117722247,163558.46108598943,0.0
StableHGB,stable_hgb,2025/07/04,1.0,1.0,-0.011759491576041947,161635.09674065837,-0.011759491576041836
StableHGB,stable_hgb,2025/07/07,1.0,1.0,0.016673050752520124,164330.04691200386,0.0
StableHGB,stable_hgb,2025/07/08,1.0,1.0,0.008061599862168922,165654.80999553986,0.0
StableHGB,stable_hgb,2025/07/09,1.0,1.0,0.0012508428163870988,165862.01812462276,0.0
StableHGB,stable_hgb,2025/07/10,1.0,1.0,0.0037478404898079187,166483.64251187147,0.0
StableHGB,stable_hgb,2025/07/11,1.0,1.0,0.00019435437904702368,166515.99933683334,0.0
StableHGB,stable_hgb,2025/07/14,1.0,1.0,0.013284529968666359,168728.08612028594,0.0
StableHGB,stable_hgb,2025/07/15,1.0,1.0,-0.01437899096288342,166301.94649477772,-0.014378990962883531
StableHGB,stable_hgb,2025/07/16,1.0,1.0,0.012553295380349994,168389.58395145382,-0.0020061993033619885
StableHGB,stable_hgb,2025/07/17,1.0,1.0,0.007595647699411012,169668.61190739946,0.0
StableHGB,stable_hgb,2025/07/18,1.0,1.0,0.004472422809906451,170427.44167741927,0.0
StableHGB,stable_hgb,2025/07/21,1.0,1.0,0.018615103481135487,173599.96614026962,0.0
StableHGB,stable_hgb,2025/07/22,1.0,1.0,0.00039607296345023357,173668.72439331366,0.0
StableHGB,stable_hgb,2025/07/23,1.0,1.0,-0.0033393108909187674,173088.7905305351,-0.0033393108909187674
StableHGB,stable_hgb,2025/07/24,1.0,1.0,0.01304070389243872,175345.99019494414,0.0
StableHGB,stable_hgb,2025/07/25,1.0,1.0,0.006494082577760407,176484.70153494927,0.0
StableHGB,stable_hgb,2025/07/28,1.0,1.0,0.01034640810929921,178310.68428207774,0.0
StableHGB,stable_hgb,2025/07/29,1.0,1.0,-0.0030534670810076214,177766.21847743046,-0.0030534670810076214
StableHGB,stable_hgb,2025/07/30,1.0,1.0,-0.000607313312412705,177658.25868645185,-0.003658925982213068
StableHGB,stable_hgb,2025/07/31,1.0,1.0,-0.01351961920906719,175256.38667966507,-0.017129077905286616
StableHGB,stable_hgb,2025/08/01,1.0,1.0,0.017285576830900595,178285.79441672243,-0.0001395870665603649
StableHGB,stable_hgb,2025/08/04,1.0,1.0,0.014548747990974498,180879.62951006202,0.0
StableHGB,stable_hgb,2025/08/05,1.0,1.0,0.013450847644209674,183312.61384854297,0.0
StableHGB,stable_hgb,2025/08/06,1.0,1.0,0.006216946483003971,184452.25855849893,0.0
StableHGB,stable_hgb,2025/08/07,1.0,1.0,-0.00016192720360153068,184422.39072007255,-0.0001619272036016417
StableHGB,stable_hgb,2025/08/08,1.0,1.0,0.00974251091920375,186219.12787540854,0.0
StableHGB,stable_hgb,2025/08/11,1.0,1.0,0.016916219187419923,189369.25145943914,0.0
StableHGB,stable_hgb,2025/08/12,1.0,1.0,-0.0032119580128905367,188761.0053748189,-0.0032119580128906478
StableHGB,stable_hgb,2025/08/13,1.0,1.0,-0.0028728811883146355,188218.71743339024,-0.006075611627452293
StableHGB,stable_hgb,2025/08/14,1.0,1.0,-0.025485771904159682,183421.81813278934,-0.03140654187949665
StableHGB,stable_hgb,2025/08/15,1.0,1.0,0.008632051388608453,185005.12469270357,-0.02304559337433043
StableHGB,stable_hgb,2025/08/18,1.0,1.0,0.009787500252255388,186815.86239730197,-0.01348365187303957
StableHGB,stable_hgb,2025/08/19,1.0,1.0,0.015586487602755161,189727.66552055554,0.0
StableHGB,stable_hgb,2025/08/20,1.0,1.0,0.007426842567008096,191136.74302298267,0.0
StableHGB,stable_hgb,2025/08/21,1.0,1.0,0.005749221934290949,192235.63057841934,0.0
StableHGB,stable_hgb,2025/08/22,1.0,1.0,-0.004484718616680428,191373.507867175,-0.004484718616680428
StableHGB,stable_hgb,2025/08/25,1.0,1.0,0.0026580827663569284,191882.194490374,-0.0018385566035904466
StableHGB,stable_hgb,2025/08/26,1.0,1.0,0.009540487077212445,193712.84408725658,0.0
StableHGB,stable_hgb,2025/08/27,1.0,1.0,-0.03662402991211389,186618.29909104423,-0.036624029912114
StableHGB,stable_hgb,2025/08/28,1.0,1.0,-0.004112893679947827,185850.75786815007,-0.040586292850901984
StableHGB,stable_hgb,2025/08/29,1.0,1.0,-0.007210130006662707,184510.7497420839,-0.04750379040962138
StableHGB,stable_hgb,2025/09/01,0.0,1.0,0.012874190409866149,186886.17626693065,-0.035241172842679025
