strategy,model,date,position,executed_position,strategy_return,equity,drawdown
StableHGB,stable_hgb,2025/09/02,0.0,0.0,-0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/03,0.0,0.0,-0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/04,0.0,0.0,0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/05,0.0,0.0,0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/08,0.0,0.0,0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/09,0.0,0.0,-0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/10,0.0,0.0,0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/11,1.0,0.0,0.0,186886.17626693065,-0.035241172842679025
StableHGB,stable_hgb,2025/09/12,1.0,1.0,-0.003717781946777743,186191.37421470313,-0.03882793579327892
StableHGB,stable_hgb,2025/09/15,1.0,1.0,0.000616748325676042,186306.20743300536,-0.0382351345319929
StableHGB,stable_hgb,2025/09/16,1.0,1.0,0.015294455145280939,189155.65936587687,-0.023525464936785312
StableHGB,stable_hgb,2025/09/17,1.0,1.0,-0.00123031217960623,188922.9388543176,-0.024726833450348873
StableHGB,stable_hgb,2025/09/18,1.0,1.0,-0.02014086806672566,185117.8668680747,-0.04436968162684318
StableHGB,stable_hgb,2025/09/19,1.0,1.0,-0.008369436461244661,183568.5346434812,-0.052367768856906305
StableHGB,stable_hgb,2025/09/22,1.0,1.0,-0.006475216325797173,182379.88867105506,-0.05850389255085575
StableHGB,stable_hgb,2025/09/23,1.0,1.0,-0.013021439492002962,180005.0399861667,-0.07076352714596101
StableHGB,stable_hgb,2025/09/24,0.0,1.0,0.021545895523020997,183883.40977132585,-0.05074229518566731
StableHGB,stable_hgb,2025/09/25,1.0,0.0,-0.0,183883.40977132585,-0.05074229518566731
StableHGB,stable_hgb,2025/09/26,1.0,1.0,0.003900180846374335,184600.58832408197,-0.04704001846707728
StableHGB,stable_hgb,2025/09/29,1.0,1.0,0.013346333514757225,187064.32934287557,-0.03432149672732199
StableHGB,stable_hgb,2025/09/30,1.0,1.0,0.00018123105311707022,187098.231208283,-0.03414648579520152
StableHGB,stable_hgb,2025/10/09,0.0,1.0,-0.0004035778411055624,187022.72250805728,-0.034536282871288515
StableHGB,stable_hgb,2025/10/10,1.0,0.0,0.0,187022.72250805728,-0.034536282871288515
StableHGB,stable_hgb,2025/10/13,1.0,1.0,-0.0010886319688384605,186819.12359343583,-0.0355873175385083
StableHGB,stable_hgb,2025/10/14,1.0,1.0,-0.0027670914121984413,186302.178000906,-0.038255935589962764
StableHGB,stable_hgb,2025/10/15,1.0,1.0,0.010024285386104781,188169.72420123997,-0.028615138619924263
StableHGB,stable_hgb,2025/10/16,1.0,1.0,-0.011503925891387823,186005.03363902602,-0.039789878077256646
StableHGB,stable_hgb,2025/10/17,1.0,1.0,-0.011059285263490093,183947.95091156694,-0.05040911572849094
StableHGB,stable_hgb,2025/10/20,1.0,1.0,0.021596459476932006,187920.57537929327,-0.029901314676657353
StableHGB,stable_hgb,2025/10/21,1.0,1.0,0.022724388902806814,192190.95561705154,-0.00785641487726807
StableHGB,stable_hgb,2025/10/22,1.0,1.0,0.006214578730457054,193385.3414420155,-0.0016906604556049531
StableHGB,stable_hgb,2025/10/23,1.0,1.0,0.007061445802178268,194750.92154954403,0.0
StableHGB,stable_hgb,2025/10/24,1.0,1.0,0.003850518870368136,195500.81364799215,0.0
StableHGB,stable_hgb,2025/10/27,1.0,1.0,0.0016903566793324831,195831.27975415697,0.0
StableHGB,stable_hgb,2025/10/28,1.0,1.0,0.004242956894492833,196662.18343274723,0.0
StableHGB,stable_hgb,2025/10/29,1.0,1.0,-0.012340881287219774,194235.19877331826,-0.012340881287219774
StableHGB,stable_hgb,2025/10/30,1.0,1.0,-0.007723059004989152,192735.1088723461,-0.01996863093785417
StableHGB,stable_hgb,2025/10/31,1.0,1.0,0.01798519500747875,196201.4873902029,-0.002342575651825163
StableHGB,stable_hgb,2025/11/03,1.0,1.0,0.014004319089064632,198949.1556253644,0.0
StableHGB,stable_hgb,2025/11/04,1.0,1.0,0.0025384532644940894,199454.17875892995,0.0
StableHGB,stable_hgb,2025/11/05,1.0,1.0,0.011722114762691582,201792.20353224056,0.0
StableHGB,stable_hgb,2025/11/06,1.0,1.0,0.0011922616612887182,202032.792640059,0.0
StableHGB,stable_hgb,2025/11/07,1.0,1.0,0.001216565261009217,202278.57871716956,0.0
StableHGB,stable_hgb,2025/11/10,1.0,1.0,0.007901088288767566,203876.79962654036,0.0
StableHGB,stable_hgb,2025/11/11,1.0,1.0,0.008077563805556576,205523.6274839964,0.0
StableHGB,stable_hgb,2025/11/12,1.0,1.0,-0.0028454728274450725,204938.81558659274,-0.0028454728274450725
StableHGB,stable_hgb,2025/11/13,1.0,1.0,0.009111209562294942,206806.05608285067,0.0
StableHGB,stable_hgb,2025/11/14,1.0,1.0,0.00898016381592659,208663.20834460037,0.0
StableHGB,stable_hgb,2025/11/17,1.0,1.0,0.008558879287863697,210449.13155664018,0.0
StableHGB,stable_hgb,2025/11/18,1.0,1.0,-0.007466502422981636,208877.81260595814,-0.007466502422981636
StableHGB,stable_hgb,2025/11/19,1.0,1.0,-0.020792719694175732,204534.67479810986,-0.028103973225180545
StableHGB,stable_hgb,2025/11/20,1.0,1.0,-0.00631482032281061,203243.07507697534,-0.03424132200671692
StableHGB,stable_hgb,2025/11/21,1.0,1.0,-0.04816526180892722,193453.81915504136,-0.08075734157650682
StableHGB,stable_hgb,2025/11/24,1.0,1.0,0.021996984896035743,197709.21989307523,-0.060536774703373486
StableHGB,stable_hgb,2025/11/25,1.0,1.0,0.017752275278553498,201219.00838972518,-0.04385916491383002
StableHGB,stable_hgb,2025/11/26,1.0,1.0,-0.009817460860053306,199243.54865056032,-0.05324604013898715
StableHGB,stable_hgb,2025/11/27,1.0,1.0,0.012026028265309074,201639.65719831243,-0.04186035025740542
StableHGB,stable_hgb,2025/11/28,1.0,1.0,0.01752298014982001,205172.98490881495,-0.02507088819421055
StableHGB,stable_hgb,2025/12/01,1.0,1.0,-0.00018326779895372347,205135.38330746593,-0.025249561306667112
StableHGB,stable_hgb,2025/12/02,1.0,1.0,-0.0034156649667822503,204434.70956525518,-0.028578982231467598
StableHGB,stable_hgb,2025/12/03,1.0,1.0,-0.008846566796364419,202626.1642515908,-0.03717272315254916
StableHGB,stable_hgb,2025/12/04,1.0,1.0,-0.017496507336855704,199080.9140821239,-0.054018837666035435
StableHGB,stable_hgb,2025/12/05,1.0,1.0,0.017140110653679708,202493.1829785272,-0.037804615867334634
StableHGB,stable_hgb,2025/12/08,1.0,1.0,0.010842669573343455,204688.74965241796,-0.02737184925218794
StableHGB,stable_hgb,2025/12/09,1.0,1.0,-0.00841740533032631,202965.80148003588,-0.03555885463271791
StableHGB,stable_hgb,2025/12/10,1.0,1.0,-0.009415163368372226,201054.84530090872,-0.044639225575530905
StableHGB,stable_hgb,2025/12/11,1.0,1.0,-0.025895651063286174,195848.39918241338,-0.06937891482957803
StableHGB,stable_hgb,2025/12/12,1.0,1.0,-0.01283390072848234,193334.9002694741,-0.0813224134524877
StableHGB,stable_hgb,2025/12/15,1.0,1.0,0.006209431948452471,194535.40017595826,-0.07561794749625228
StableHGB,stable_hgb,2025/12/16,0.0,1.0,-0.01850862415769894,190934.81756873388,-0.09272698748416652
StableHGB,stable_hgb,2025/12/17,0.0,0.0,0.0,190934.81756873388,-0.09272698748416652
StableHGB,stable_hgb,2025/12/18,0.0,0.0,0.0,190934.81756873388,-0.09272698748416652
StableHGB,stable_hgb,2025/12/19,0.0,0.0,0.0,190934.81756873388,-0.09272698748416652
StableHGB,stable_hgb,2025/12/22,1.0,0.0,-0.0,190934.81756873388,-0.09272698748416652
StableHGB,stable_hgb,2025/12/23,1.0,1.0,-0.0062203741437580895,189747.13156638618,-0.09837056507254949
StableHGB,stable_hgb,2025/12/24,1.0,1.0,0.009916624948238306,191628.78270513404,-0.08942944412408194
StableHGB,stable_hgb,2025/12/25,1.0,1.0,0.011190090787528861,193773.12618110815,-0.07924007693537982
StableHGB,stable_hgb,2025/12/26,1.0,1.0,-0.006457586908104829,192521.81937833846,-0.08518596416006952
StableHGB,stable_hgb,2025/12/29,1.0,1.0,0.003566533670392502,193208.45492943656,-0.08192324909909865
StableHGB,stable_hgb,2025/12/30,1.0,1.0,-0.008782977896880428,191511.50934030087,-0.08998669690990124
StableHGB,stable_hgb,2025/12/31,1.0,1.0,0.005309132994699928,192528.26941340425,-0.0851553152568496
StableHGB,stable_hgb,2026/01/05,1.0,1.0,0.013288014594583064,195086.5878672394,-0.0729988457342059
StableHGB,stable_hgb,2026/01/06,1.0,1.0,0.0032100605944020977,195712.8276354484,-0.07002311585793197
StableHGB,stable_hgb,2026/01/07,1.0,1.0,-0.004209460350179106,194888.98224749553,-0.07393781667831112
StableHGB,stable_hgb,2026/01/08,1.0,1.0,0.019493511690390486,198688.0529012654,-0.055885612681701224
StableHGB,stable_hgb,2026/01/09,1.0,1.0,0.01201430738447562,201075.15224244414,-0.04454273222635341
StableHGB,stable_hgb,2026/01/12,1.0,1.0,0.015063411846015118,204104.0300726723,-0.03015028590061042
StableHGB,stable_hgb,2026/01/13,1.0,1.0,-0.00021690260211293388,204059.7593774478,-0.030360648827257086
StableHGB,stable_hgb,2026/01/14,1.0,1.0,0.0036737766769059377,204809.4293621437,-0.0267984103939084
StableHGB,stable_hgb,2026/01/15,1.0,1.0,-1.574643092827621e-05,204806.20434461083,-0.0268137348455183
StableHGB,stable_hgb,2026/01/16,1.0,1.0,-0.0014472629409071347,204509.79591499502,-0.028222191261676244
StableHGB,stable_hgb,2026/01/19,1.0,1.0,0.01827255146233453,208246.7116854033,-0.010465331241550468
StableHGB,stable_hgb,2026/01/20,1.0,1.0,0.0012332903934280104,208503.54035438786,-0.009244947640606793
StableHGB,stable_hgb,2026/01/21,1.0,1.0,0.010942515934986075,210785.09366721677,0.0
StableHGB,stable_hgb,2026/01/22,1.0,1.0,0.01215239382824751,213346.63713858486,0.0
StableHGB,stable_hgb,2026/01/23,1.0,1.0,0.007409748656708182,214927.4820965357,0.0
StableHGB,stable_hgb,2026/01/26,1.0,1.0,-0.0065517909319829926,213519.3221683017,-0.0065517909319828815
StableHGB,stable_hgb,2026/01/27,1.0,1.0,-0.002493549862072064,212986.9010919592,-0.009029003576680239
StableHGB,stable_hgb,2026/01/28,1.0,1.0,-0.011204975339418555,210600.38811760463,-0.02013280915368254
StableHGB,stable_hgb,2026/01/29,1.0,1.0,-0.004446467675405019,209663.96029941193,-0.02448975694397071
StableHGB,stable_hgb,2026/01/30,1.0,1.0,0.013576571499687384,212510.4780473245,-0.011245672380443272
StableHGB,stable_hgb,2026/02/02,1.0,1.0,-0.012951859587935544,209758.07217469052,-0.024051879598735226
StableHGB,stable_hgb,2026/02/03,1.0,1.0,0.016955762107764505,213314.68014666787,-0.0075039354396914115
StableHGB,stable_hgb,2026/02/04,1.0,1.0,0.010225665595995359,215495.9647325644,0.0
StableHGB,stable_hgb,2026/02/05,1.0,1.0,0.001466624763101887,215812.01645078973,0.0
StableHGB,stable_hgb,2026/02/06,1.0,1.0,0.008593952715599373,217666.69471562596,0.0
StableHGB,stable_hgb,2026/02/09,1.0,1.0,0.016424554668821756,221241.7732425645,0.0
StableHGB,stable_hgb,2026/02/10,1.0,1.0,0.0017240488246386132,221623.20486168427,0.0
StableHGB,stable_hgb,2026/02/11,1.0,1.0,-0.001206476875859841,221355.82158986467,-0.001206476875859952
StableHGB,stable_hgb,2026/02/12,1.0,1.0,-0.011040942612528526,218911.84466674188,-0.012234098846438779
StableHGB,stable_hgb,2026/02/13,1.0,1.0,0.002126770523067645,219377.41992512945,-0.010133347444174046
StableHGB,stable_hgb,2026/02/24,1.0,1.0,0.023164408093443445,224459.16800676184,0.0
StableHGB,stable_hgb,2026/02/25,1.0,1.0,0.004323446008518861,225429.60510075613,0.0
StableHGB,stable_hgb,2026/02/26,1.0,1.0,-0.0030419961945784557,224743.84909989432,-0.0030419961945784557
StableHGB,stable_hgb,2026/02/27,1.0,1.0,0.007138347222149566,226348.14873081175,0.0
StableHGB,stable_hgb,2026/03/02,1.0,1.0,-0.03146485397054022,219226.13728449462,-0.03146485397054033
StableHGB,stable_hgb,2026/03/03,1.0,1.0,-0.02650773526768524,213414.94887360005,-0.05713852721893797
StableHGB,stable_hgb,2026/03/04,1.0,1.0,-0.006818028829972289,211959.87959943275,-0.06356698392302951
StableHGB,stable_hgb,2026/03/05,1.0,1.0,0.013076795396702368,214731.6355772642,-0.051321440969073984
StableHGB,stable_hgb,2026/03/06,1.0,1.0,0.03467710884827424,222177.90787734496,-0.018424011315534616
StableHGB,stable_hgb,2026/03/09,1.0,1.0,-0.008871593482288387,220206.83579791186,-0.02713215445911843
StableHGB,stable_hgb,2026/03/10,1.0,1.0,0.025251335061490687,225767.35239147555,-0.002565942520815212
StableHGB,stable_hgb,2026/03/11,1.0,1.0,-0.007957873138931593,223970.72444223173,-0.010503396214684324
StableHGB,stable_hgb,2026/03/12,1.0,1.0,-0.013342897947055232,220982.305922871,-0.023706148417949602
StableHGB,stable_hgb,2026/03/13,1.0,1.0,0.0005771266786425144,221109.84070712703,-0.023142703190006886
StableHGB,stable_hgb,2026/03/16,1.0,1.0,0.002305849219472078,221619.68666073916,-0.020890217554621948
StableHGB,stable_hgb,2026/03/17,1.0,1.0,-0.02228181207236868,216681.59845102736,-0.04270655772528764
StableHGB,stable_hgb,2026/03/18,0.0,1.0,0.016829372247366692,220328.2137305141,-0.0265959100352835
StableHGB,stable_hgb,2026/03/19,0.0,0.0,-0.0,220328.2137305141,-0.0265959100352835
StableHGB,stable_hgb,2026/03/20,0.0,0.0,-0.0,220328.2137305141,-0.0265959100352835
StableHGB,stable_hgb,2026/03/23,1.0,0.0,-0.0,220328.2137305141,-0.0265959100352835
StableHGB,stable_hgb,2026/03/24,1.0,1.0,0.05613993995272892,232697.42641923722,0.0
StableHGB,stable_hgb,2026/03/25,1.0,1.0,0.024393967105083014,238373.83978474556,0.0
StableHGB,stable_hgb,2026/03/26,1.0,1.0,-0.015770413815208606,234614.58568861987,-0.015770413815208717
StableHGB,stable_hgb,2026/03/27,1.0,1.0,0.02053237044252798,239431.77927319886,0.0
StableHGB,stable_hgb,2026/03/30,1.0,1.0,0.01205336961100878,242317.7390054002,0.0
StableHGB,stable_hgb,2026/03/31,1.0,1.0,-0.014497283228760538,238804.79011168604,-0.014497283228760427
StableHGB,stable_hgb,2026/04/01,1.0,1.0,0.01089644101047127,241406.912420156,-0.0037588110098034644
StableHGB,stable_hgb,2026/04/02,1.0,1.0,-0.020915263130862338,236357.8233252794,-0.02459545761933657
StableHGB,stable_hgb,2026/04/03,1.0,1.0,-0.03681328652688998,227656.71505233384,-0.06050330451762598
StableHGB,stable_hgb,2026/04/07,1.0,1.0,0.033180196982119714,235210.40970207253,-0.02933061909747048
StableHGB,stable_hgb,2026/04/08,1.0,1.0,0.03641728357069174,243776.1338909715,0.0
StableHGB,stable_hgb,2026/04/09,1.0,1.0,-0.02095118172582966,238668.73580940155,-0.02095118172582977
StableHGB,stable_hgb,2026/04/10,1.0,1.0,0.009914182855666587,241034.94129814673,-0.01124471271683547
StableHGB,stable_hgb,2026/04/13,1.0,1.0,-0.0015946657249750196,240650.57113873723,-0.012821446883853671
StableHGB,stable_hgb,2026/04/14,0.0,1.0,-0.00030078287097246026,240578.18756904895,-0.013118373283222406
StableHGB,stable_hgb,2026/04/15,0.0,0.0,-0.0,240578.18756904895,-0.013118373283222406
StableHGB,stable_hgb,2026/04/16,0.0,0.0,0.0,240578.18756904895,-0.013118373283222406
StableHGB,stable_hgb,2026/04/17,0.0,0.0,-0.0,240578.18756904895,-0.013118373283222406
StableHGB,stable_hgb,2026/04/20,0.0,0.0,0.0,240578.18756904895,-0.013118373283222406
StableHGB,stable_hgb,2026/04/21,1.0,0.0,-0.0,240578.18756904895,-0.013118373283222406
StableHGB,stable_hgb,2026/04/22,1.0,1.0,-0.002826155055204116,239898.27630807884,-0.015907453781456082
StableHGB,stable_hgb,2026/04/23,1.0,1.0,-0.010188939730251367,237453.96722938464,-0.02593431342386643
StableHGB,stable_hgb,2026/04/24,1.0,1.0,0.010978685731466875,240060.89971128607,-0.015240352369141563
StableHGB,stable_hgb,2026/04/27,1.0,1.0,0.02004326161158443,244872.5031269117,0.0
StableHGB,stable_hgb,2026/04/28,1.0,1.0,-0.0008787369944224244,244657.32459949728,-0.0008787369944223133
StableHGB,stable_hgb,2026/04/29,1.0,1.0,0.016429676364692503,248676.9652629185,0.0
StableHGB,stable_hgb,2026/04/30,1.0,1.0,0.011550536588218696,251549.31764883504,0.0
StableHGB,stable_hgb,2026/05/06,1.0,1.0,0.0019092395103517124,252029.58554489218,0.0
