feature_group,feature_count,model,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,center_prob,sharpness,min_position,max_position,smoothing_window,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold,lower_prob,upper_prob,lower_rank,upper_rank
market,12,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,0.9820005356118624,0.980858588227218,0.9831424829965066,sigmoid,0.55,8.0,0.5,1.0,5,0.48760330578512395,0.6234177215189873,0.5736434108527132,0.6182065217391304,0.09148187491565363,-0.438264172917035,0.42943833487776495,0.846931354574523,0.631120494342714,-0.13034752239139913,2.289105518369259,-0.14583871152200412,,,,
market,12,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.2006007988769811,1.2835641206801525,1.1176374770738098,linear_clipped,,,0.0,1.0,3,0.5247933884297521,0.6518987341772152,0.5761130548123756,0.5672554347826086,0.11971435408085696,-0.4410707801136172,0.4881859806207444,0.6550530032741604,0.4944988016500016,-0.11409633312687117,2.1367456786534635,-0.3377170628223667,0.5,0.65,,
market,12,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.2524301262428894,1.3551725771114946,1.1496876753742844,linear_clipped,,,0.0,1.0,5,0.5206611570247934,0.43037974683544306,0.48315840021952394,0.5381162655279503,0.12639306998627098,-0.4426192568143863,0.5021855626027051,0.40593043989634015,0.31218924902761946,-0.11655788789492305,1.5125513198072411,-0.5868396262001869,0.35,0.5,,
market,12,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.0252560667701616,1.0358521098104483,1.0146600237298748,linear_clipped,,,0.0,1.0,1,0.5247933884297521,0.6677215189873418,0.5716539754407629,0.5456618788819876,0.09661096337247299,-0.4577482649016674,0.4432052511142876,0.8770918039836557,0.6523271628538987,-0.1760364026247887,2.021846258789428,-0.11567826211287136,0.5,0.5,,
market,12,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.0188136486270112,1.0268501268246495,1.0107771704293729,linear_clipped,,,0.0,1.0,1,0.5371900826446281,0.6772151898734177,0.5446936955477808,0.5562888198757765,0.09577137416829618,-0.45087224789923375,0.44150921408529054,0.743820039073666,0.5580806520504187,-0.1760364026247888,1.8195393434923819,-0.24895002702286106,0.5,0.55,,
market,12,lstm,weighted_valid_return_sharpe,0.5,0.5,1.0098704206206996,1.0197408412413997,0.9999999999999994,sigmoid,0.5,16.0,0.5,1.0,1,0.5330578512396694,0.7088607594936709,0.5,0.5,0.09510831143705989,-0.41920856469166534,0.43680172742498674,0.8472870919521935,0.6313710301340116,-0.15298652217562236,2.17822215669276,-0.14548297414433353,,,,
regime,20,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,1.2813349163152212,1.3818801020527902,1.1807897305776522,sigmoid,0.55,8.0,0.0,1.0,3,0.49586776859504134,0.7120253164556962,0.5816011525005145,0.6101513975155279,0.12888400444441972,-0.40518463377005376,0.5157709940420034,0.8282689697067454,0.6179633433055667,-0.1250851105566252,2.4825745489793287,-0.16450109638978172,,,,
regime,20,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.6432088227008141,1.9150800094984493,1.3713376359031793,linear_clipped,,,0.0,1.0,1,0.5330578512396694,0.6740506329113924,0.5901763051382314,0.646011257763975,0.17861403466839154,-0.45087224789923397,0.5990026482454065,1.0444889192330749,0.7688113581865303,-0.119121196769855,2.633249643750492,0.05171885313654778,0.5,0.55,,
regime,20,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.172969265006604,1.2396662323334835,1.1062722976797243,rank_linear,,,0.0,1.0,3,0.5041322314049587,0.4525316455696203,0.5396858064073541,0.5796292701863355,0.11562012359851037,-0.40840792215679833,0.483221650628913,0.4488205135388481,0.3440147572318031,-0.06281353247414001,2.2770955691854367,-0.543949552557679,,,0.4,0.7
regime,20,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.2237360166538642,1.3165088258985418,1.1309632074091869,linear_clipped,,,0.0,1.0,5,0.5454545454545454,0.6518987341772152,0.5665088838581327,0.5915178571428571,0.1227870125028716,-0.45940986022571884,0.4940066826504366,0.8796806140026951,0.6541441988994685,-0.16920519199078576,2.14733569109202,-0.11308945209383192,0.35,0.5,,
regime,20,lightgbm,weighted_valid_return_sharpe,0.5,0.5,2.0592036370684346,2.5145374441689046,1.6038698299679648,linear_clipped,,,0.0,1.0,1,0.5413223140495868,0.6677215189873418,0.5837277903546684,0.6348990683229814,0.23452371493626467,-0.44621088673421194,0.7005731122948271,1.0206619430703543,0.7523527239169472,-0.1570008315267446,2.3632789684040945,0.027891876973827223,0.5,0.5,,
regime,20,lstm,weighted_valid_return_sharpe,0.5,0.5,1.0098704206206996,1.0197408412413997,0.9999999999999994,sigmoid,0.5,16.0,0.5,1.0,1,0.5330578512396694,0.7088607594936709,0.5,0.5,0.09510831143705989,-0.41920856469166534,0.43680172742498674,0.8472870919521935,0.6313710301340116,-0.15298652217562236,2.17822215669276,-0.14548297414433353,,,,
momentum,20,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,3.601936276561431,4.690702857012964,2.5131696961098986,linear_clipped,,,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.6001920834190848,0.6195652173913044,0.43748843837655604,-0.45113759119472174,1.0977568645729332,0.8731024964893073,0.6495261504193948,-0.14837909112634284,2.104743746234837,-0.1196675696072198,0.45,0.5,,
momentum,20,random_forest,weighted_valid_return_sharpe,0.5,0.5,2.318786920532749,2.8821916465995505,1.7553821944659473,linear_clipped,,,0.0,1.0,5,0.5578512396694215,0.6708860759493671,0.5842766001234823,0.639557453416149,0.26881377077373614,-0.41818290055989904,0.7667539748337902,0.8892901263159592,0.6608845058686212,-0.11948588270015159,2.5295597623337676,-0.10347993978056791,0.5,0.55,,
momentum,20,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8217271288704193,2.158334610378731,1.4851196473621076,linear_clipped,,,0.0,1.0,5,0.5289256198347108,0.6550632911392406,0.5561500994717706,0.5980687111801242,0.2013016954968576,-0.4230023627949723,0.6487028274005561,0.7765679129423413,0.5813703745770851,-0.13148716351379897,2.2589572016550203,-0.21620215315418578,0.5,0.6,,
momentum,20,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.9076433822832413,2.1959474112113573,1.6193393533551255,rank_linear,,,0.0,1.0,5,0.5578512396694215,0.6645569620253164,0.5928517527611992,0.6114130434782609,0.20480973384437995,-0.40455817044046827,0.7073302268327801,0.665620374551803,0.5021035336123303,-0.060503304521451695,2.658258568885346,-0.32714969154472406,,,0.4,0.8
momentum,20,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.263096647513241,1.3718872993085944,1.1543059957178876,linear_clipped,,,0.0,1.0,3,0.5495867768595041,0.6582278481012658,0.5713109693352543,0.6122864906832297,0.12795200431547804,-0.44623401337798196,0.504202852906593,1.0512823359715475,0.773496821139261,-0.1194825531696011,2.772462108192003,0.05851226987502045,0.5,0.65,,
momentum,20,lstm,weighted_valid_return_sharpe,0.5,0.5,1.0098704206206996,1.0197408412413997,0.9999999999999994,sigmoid,0.5,16.0,0.5,1.0,1,0.5330578512396694,0.7088607594936709,0.5,0.5,0.09510831143705989,-0.41920856469166534,0.43680172742498674,0.8472870919521935,0.6313710301340116,-0.15298652217562236,2.17822215669276,-0.14548297414433353,,,,
composite,28,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,,,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,0.0806841641949565,0.5,0.5,,
composite,28,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.906920162047801,2.2860502313752726,1.5277900927203292,linear_clipped,,,0.0,1.0,5,0.5371900826446281,0.6392405063291139,0.5799547231940728,0.6477581521739131,0.21321336615459985,-0.41133478465641926,0.6673413516430208,0.9039901243178028,0.6711819691599337,-0.10838920253536588,2.676159278033144,-0.08877994177872428,0.5,0.6,,
composite,28,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8188624418961612,2.1604101835613823,1.47731470023094,linear_clipped,,,0.0,1.0,5,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.20149527827071778,-0.4249561112255924,0.6452936130112014,0.8754688544376739,0.6511877869195555,-0.13475047976254018,2.5103321781655175,-0.11730121165885321,0.5,0.55,,
composite,28,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8364446718824448,2.0861888893182985,1.586700454446591,rank_linear,,,0.0,1.0,3,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.19457287045625837,-0.40840792215679833,0.6930734994082828,0.6818713360424886,0.5137793895907541,-0.03218332417731118,3.5706009653832105,-0.31089873005403845,,,0.4,0.8
composite,28,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.3322162660489034,1.467050752215726,1.197381779882081,linear_clipped,,,0.0,1.0,5,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.13682762736642817,-0.41138206817560785,0.5230184298396985,0.8599531960298739,0.6402850589699656,-0.12799888591944286,2.453287652706081,-0.13281687006665321,0.5,0.65,,
composite,28,lstm,weighted_valid_return_sharpe,0.5,0.5,1.0098704026307166,1.0197408166554418,0.9999999886059916,sigmoid,0.5,16.0,0.5,1.0,5,0.5330578512396694,0.7088607594936709,0.49608973039720106,0.4860248447204969,0.09510830914399793,-0.4192085945128061,0.4368017224480644,0.8472871880930424,0.6313710978419762,-0.15298653446086463,2.1782221575939045,-0.1454828780034847,,,,
